model_size,checkpoint_step,n_words_correlated,layer_num,method,id
6.9b,0,4,15,pca,31.0
6.9b,0,4,15,pr,99.52262522735847
6.9b,0,4,15,2nn,22.611680435305765
6.9b,0,4,15,pca_ratio_099,2779.0
6.9b,0,4,16,mle,20.360513056129665
6.9b,0,4,16,pca,33.0
6.9b,0,4,16,pr,101.62421435137776
6.9b,0,4,16,2nn,22.31952695786586
6.9b,0,4,16,pca_ratio_099,2782.0
6.9b,0,4,17,mle,20.432443304092697
6.9b,0,4,17,pca,34.0
6.9b,0,4,17,pr,103.62550791711564
6.9b,0,4,17,2nn,22.019553760001287
6.9b,0,4,17,pca_ratio_099,2785.0
6.9b,0,4,18,mle,20.475565961255
6.9b,0,4,18,pca,37.0
6.9b,0,4,18,pr,106.0922851883909
6.9b,0,4,18,2nn,21.814188149051507
6.9b,0,4,18,pca_ratio_099,2788.0
6.9b,0,4,19,mle,20.4705410220336
6.9b,0,4,19,pca,37.0
6.9b,0,4,19,pr,108.31168352861658
6.9b,0,4,19,2nn,21.551069720704355
6.9b,0,4,19,pca_ratio_099,2789.0
6.9b,0,4,20,mle,20.495351631381283
6.9b,0,4,20,pca,38.0
6.9b,0,4,20,pr,109.9552676532567
6.9b,0,4,20,2nn,21.301628533751227
6.9b,0,4,20,pca_ratio_099,2791.0
6.9b,0,4,21,mle,20.52879191586201
6.9b,0,4,21,pca,39.0
6.9b,0,4,21,pr,111.72617569601084
6.9b,0,4,21,2nn,21.026936093609603
6.9b,0,4,21,pca_ratio_099,2793.0
6.9b,0,4,22,mle,20.5518281261366
6.9b,0,4,22,pca,39.0
6.9b,0,4,22,pr,113.44282261173116
6.9b,0,4,22,2nn,20.74789978630682
6.9b,0,4,22,pca_ratio_099,2794.0
6.9b,0,4,23,mle,20.61880616197564
6.9b,0,4,23,pca,43.0
6.9b,0,4,23,pr,115.38043081143294
6.9b,0,4,23,2nn,20.56756456212585
6.9b,0,4,23,pca_ratio_099,2796.0
6.9b,0,4,24,mle,20.647944877190827
6.9b,0,4,24,pca,43.0
6.9b,0,4,24,pr,116.9826925234964
6.9b,0,4,24,2nn,20.37652630458749
6.9b,0,4,24,pca_ratio_099,2796.0
6.9b,0,4,25,mle,20.67062903566365
6.9b,0,4,25,pca,45.0
6.9b,0,4,25,pr,118.92866051536988
6.9b,0,4,25,2nn,20.191581831297604
6.9b,0,4,25,pca_ratio_099,2797.0
6.9b,0,4,26,mle,20.674963560716503
6.9b,0,4,26,pca,45.0
6.9b,0,4,26,pr,120.11167590902284
6.9b,0,4,26,2nn,20.03641500588363
6.9b,0,4,26,pca_ratio_099,2796.0
6.9b,0,4,27,mle,20.72896262041736
6.9b,0,4,27,pca,45.0
6.9b,0,4,27,pr,121.04081234227618
6.9b,0,4,27,2nn,19.878487853752105
6.9b,0,4,27,pca_ratio_099,2798.0
6.9b,0,4,28,mle,20.76566390510509
6.9b,0,4,28,pca,45.0
6.9b,0,4,28,pr,122.0852919217405
6.9b,0,4,28,2nn,19.73330373711408
6.9b,0,4,28,pca_ratio_099,2798.0
6.9b,0,4,29,mle,20.811847380779348
6.9b,0,4,29,pca,45.0
6.9b,0,4,29,pr,122.4423729831313
6.9b,0,4,29,2nn,19.555136972262147
